		//Abilities
		"solunia_q"															"Solar and Lunar Napalm"
    	"solunia_w"															"Solarang and Lunarang"
    	"solunia_e"															"Solar and Lunar Warp Flare"
    	"solunia_r"															"Supernova and Eclipse"

    	"DOTA_Tooltip_ability_solunia_napalm_solar"							"Solar Napalm"
    	"DOTA_Tooltip_ability_solunia_napalm_solar_Description"				"Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_FIRE>Огонь</font><br>Залп горящих Солнечных Осколков вылетает в сторону цели. Базовый Урон осколков увеличивается Ловкостью героя."
    	"DOTA_Tooltip_ability_solunia_napalm_solar_damage"					"УРОН:"
    	"DOTA_Tooltip_ability_solunia_napalm_solar_projectiles"				"CНАРЯДЫ:"
    	"DOTA_Tooltip_ability_solunia_napalm_solar_stun_duration"				"ОГЛУШЕНИЕ, СЕК:"
        "DOTA_Tooltip_ability_solunia_napalm_solar_damage_add_agility"      "ДОПОЛНИТЕЛЬНЫЙ УРОН ОТ ЛОВКОСТИ:"

    	"DOTA_Tooltip_ability_solunia_napalm_lunar"							"Lunar Napalm"
    	"DOTA_Tooltip_ability_solunia_napalm_lunar_Description"				"Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_ICE>Лёд</font><br>Залп морозных Лунных Осколков вылетает в сторону цели. Базовый Урон осколков увеличивается Интеллектом героя."
    	"DOTA_Tooltip_ability_solunia_napalm_lunar_damage"					"УРОН:"
    	"DOTA_Tooltip_ability_solunia_napalm_lunar_projectiles"				"CНАРЯДЫ:"
    	"DOTA_Tooltip_ability_solunia_napalm_lunar_stun_duration"				"ОГЛУШЕНИЕ, СЕК:"
        "DOTA_Tooltip_ability_solunia_napalm_lunar_damage_add_intelligence"      "ДОПОЛНИТЕЛЬНЫЙ УРОН ОТ ИНТЕЛЛЕКТА:"

        "DOTA_Tooltip_ability_solunia_napalm_galactic"                         "Galactic Napalm"
        "DOTA_Tooltip_ability_solunia_napalm_galactic_Description"             "Элемент: <font color=ELEMENT_COSMOS>Космос</font> / <font color=ELEMENT_ICE>Лёд</font><br>Залп Галактических Осколков вылетает в сторону цели. Базовый Урон осколков увеличивается Интеллектом и Ловкостью героя."
        "DOTA_Tooltip_ability_solunia_napalm_galactic_damage"                  "УРОН:"
        "DOTA_Tooltip_ability_solunia_napalm_galactic_projectiles"             "CНАРЯДЫ:"
        "DOTA_Tooltip_ability_solunia_napalm_galactic_stun_duration"               "ОГЛУШЕНИЕ, СЕК:"
        "DOTA_Tooltip_ability_solunia_napalm_galactic_damage_add_agility"          "ДОПОЛНИТЕЛЬНЫЙ УРОН ОТ ЛОВКОСТИ:"
        "DOTA_Tooltip_ability_solunia_napalm_galactic_damage_add_intelligence"      "ДОПОЛНИТЕЛЬНЫЙ УРОН ОТ ИНТЕЛЛЕКТА:"
		
		"DOTA_Tooltip_ability_solunia_rune_q_1"								"[Q1] Nitro Boost"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_Description"					"Если осколок от @Ability1 поражает хотя бы одного соперника, герой получает заряд Nitro Boost. Каждый заряд имеет независимую длительность <% SOLUNIA_Q1_BUFF_DURATION %> сек, максимально до <% SOLUNIA_Q1_MAX_STACKS %> зарядов. Заряды от Солнечных осколков увеличивают Базовый Урон Атаки, а Лунные - Бонусный Урон Атаки."
    	"DOTA_Tooltip_ability_solunia_rune_q_1_property_one"				"Базовый Урон Атаки"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_suffix"						" за Солнечный Заряд"	
    	"DOTA_Tooltip_ability_solunia_rune_q_1_property_two"				"Бонусный Урон Атаки"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_suffix_two"					"% за Лунный Заряд"

        "DOTA_Tooltip_modifier_napalm_q_1_lunar"                            "Nitro Boost (Лунный)"
        "DOTA_Tooltip_modifier_napalm_q_1_lunar_Description"                "Бонусный Урон Атаки" 

        "DOTA_Tooltip_modifier_napalm_q_1_solar"                            "Nitro Boost (Солнечный)"
        "DOTA_Tooltip_modifier_napalm_q_1_solar_Description"                "Базовый Урон Атаки" 
		
		"DOTA_Tooltip_ability_solunia_rune_q_2"								"[Q2] Gamma Heat"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_Description"					"Добавляет к @Ability1 затраты Маны и увеличивает базовый урон способности на множитель от этих затрат."
    	"DOTA_Tooltip_ability_solunia_rune_q_2_property_one"				"Прибавка к Базовому Урону"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_suffix"						"x Потраченной Маны"	
    	"DOTA_Tooltip_ability_solunia_rune_q_2_property_two"				"Затрата Маны"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_suffix_two"					""
		
		"DOTA_Tooltip_ability_solunia_rune_q_3"								"[Q3] Natura"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_Description"					"Увеличивает скорость снарядов @Ability1 и Базовый Урон Способности."
    	"DOTA_Tooltip_ability_solunia_rune_q_3_property_one"				"[Q] Базовый Урон Способности"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_suffix"						"%"	
    	"DOTA_Tooltip_ability_solunia_rune_q_3_property_two"				"Скорость Снарядов"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_suffix_two"					"%"
		
