		//Abilities
		"solunia_q"															"Solar and Lunar Napalm"
    	"solunia_w"															"Solarang and Lunarang"
    	"solunia_e"															"Solar and Lunar Warp Flare"
    	"solunia_r"															"Supernova and Eclipse"

    	"DOTA_Tooltip_ability_solunia_napalm_solar"							"Solar Napalm"
    	"DOTA_Tooltip_ability_solunia_napalm_solar_Description"				"Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_FIRE>Fire</font><br>A barrage of firey Sun Shards launch from Solunia towards the target location. Napalm Base Damage is increased by Solunia's Agility."
    	"DOTA_Tooltip_ability_solunia_napalm_solar_damage"					"DAMAGE:"
    	"DOTA_Tooltip_ability_solunia_napalm_solar_projectiles"				"PROJECTILES:"
    	"DOTA_Tooltip_ability_solunia_napalm_solar_stun_duration"				"STUN DURATION:"
        "DOTA_Tooltip_ability_solunia_napalm_solar_damage_add_agility"      "ADDITIONAL DAMAGE AGILITY MULT:"

    	"DOTA_Tooltip_ability_solunia_napalm_lunar"							"Lunar Napalm"
    	"DOTA_Tooltip_ability_solunia_napalm_lunar_Description"				"Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_ICE>Ice</font><br>A barrage of icy Moon Shards are emitted from Solunia towards the target location. Napalm Base Damage is increased by Solunia's Intelligence."
    	"DOTA_Tooltip_ability_solunia_napalm_lunar_damage"					"DAMAGE:"
    	"DOTA_Tooltip_ability_solunia_napalm_lunar_projectiles"				"PROJECTILES:"
    	"DOTA_Tooltip_ability_solunia_napalm_lunar_stun_duration"				"STUN DURATION:"
        "DOTA_Tooltip_ability_solunia_napalm_lunar_damage_add_intelligence"      "ADDITIONAL DAMAGE INTELLIGENCE MULT:"

        "DOTA_Tooltip_ability_solunia_napalm_galactic"                         "Galactic Napalm"
        "DOTA_Tooltip_ability_solunia_napalm_galactic_Description"             "Element: <font color=ELEMENT_COSMOS>Cosmic</font> / <font color=ELEMENT_ICE>Ice</font><br>A barrage of hyper Galaxy Shards are emitted from Solunia towards the target location. Napalm Base Damage is increased by Solunia's Agility and Intelligence."
        "DOTA_Tooltip_ability_solunia_napalm_galactic_damage"                  "DAMAGE:"
        "DOTA_Tooltip_ability_solunia_napalm_galactic_projectiles"             "PROJECTILES:"
        "DOTA_Tooltip_ability_solunia_napalm_galactic_stun_duration"               "STUN DURATION:"
        "DOTA_Tooltip_ability_solunia_napalm_galactic_damage_add_agility"          "ADDITIONAL DAMAGE AGILITY MULT:"
        "DOTA_Tooltip_ability_solunia_napalm_galactic_damage_add_intelligence"      "ADDITIONAL DAMAGE INTELLIGENCE MULT:"
		
		"DOTA_Tooltip_ability_solunia_rune_q_1"								"[Q1] Nitro Boost"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_Description"					"When a Napalm bomb impacts at least 1 enemy, Solunia gains a stack of Nitro Boost. Each stack lasts <% SOLUNIA_Q1_BUFF_DURATION %> with an independant duration and can gain up to <% SOLUNIA_Q1_MAX_STACKS %> stacks. Solar stacks increase Base Attack Damage and Lunar stacks increase Attack Power %."
    	"DOTA_Tooltip_ability_solunia_rune_q_1_property_one"				"Base Attack Damage"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_suffix"						" per Solar Stack"	
    	"DOTA_Tooltip_ability_solunia_rune_q_1_property_two"				"Attack Power Bonus"
    	"DOTA_Tooltip_ability_solunia_rune_q_1_suffix_two"					"% per Lunar Stack"

        "DOTA_Tooltip_modifier_napalm_q_1_lunar"                            "Nitro Boost (Lunar)"
        "DOTA_Tooltip_modifier_napalm_q_1_lunar_Description"                "Increased Attack Power" 

        "DOTA_Tooltip_modifier_napalm_q_1_solar"                            "Nitro Boost (Solar)"
        "DOTA_Tooltip_modifier_napalm_q_1_solar_Description"                "Increased Base Attack Damage" 
		
		"DOTA_Tooltip_ability_solunia_rune_q_2"								"[Q2] Gamma Heat"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_Description"					"Adds a Mana Cost to @Ability1 and increases its base damage based on total Mana Cost."
    	"DOTA_Tooltip_ability_solunia_rune_q_2_property_one"				"Base Damage Increase"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_suffix"						"x Mana Cost"	
    	"DOTA_Tooltip_ability_solunia_rune_q_2_property_two"				"Mana Cost"
    	"DOTA_Tooltip_ability_solunia_rune_q_2_suffix_two"					""
		
		"DOTA_Tooltip_ability_solunia_rune_q_3"								"[Q3] Natura"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_Description"					"Increases Napalm travel speed and [Q] Base Ability Damage."
    	"DOTA_Tooltip_ability_solunia_rune_q_3_property_one"				"[Q] Base Ability Damage"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_suffix"						"%"	
    	"DOTA_Tooltip_ability_solunia_rune_q_3_property_two"				"Napalm Travel Speed"
    	"DOTA_Tooltip_ability_solunia_rune_q_3_suffix_two"					"%"
		
		"DOTA_Tooltip_ability_solunia_rune_q_4"								"[Q4] Mercuria"
    	"DOTA_Tooltip_ability_solunia_rune_q_4_Description"					"Increases <font color=ELEMENT_FIRE>Fire</font> damage when Solunia is in Solar state and <font color=ELEMENT_ICE>Ice</font> damage while in Lunar state."
