	"rpc_tutorial"														"Roshpit Tutorial (Coming Soon)"

	"tutorial_base_armor"												"Base Armor"

	"tutorial_star_1"													"Complete the 'Stars' section of the Roshpit Tutorial."
	"tutorial_star_2"													"Earn your first reward for finishing a lesson category of the Tutorial."
	"tutorial_star_3"													"Finish the entire tutorial."

	"tutorial_assistant"												"Cherebi"
	"tutorial_master"													"Loremaster Challen"

	"tutorial_assistant_1"												"You appear to be new brand new here! Follow me so we can show you how to play this game."
	"tutorial_assistant_2"												"Loremaster Challen is waiting by the waterfall for you. Let's go!"
	"tutorial_assistant_3"												"He's just over the bridge! Come On!"

	"tutorial_menu_title"												"Roshpit Tutorial"

	"tutorial_master_1"													"I see that my assistant has brought you here. Thank you Cherebi."
	"tutorial_master_2"													"Hm? It seems you ran ahead of Cherebi, but let's get started anyway."
	"tutorial_master_3"													"Welcome to Roshpit, Champion."
	"tutorial_master_4"													"Choose a topic from the list provided to begin your education."
	"tutorial_master_hello"												"Greetings, Champion."

	"tutorial_challenge_go"												"Begin Lesson"

	"quest_1_interface"													"1. Interface"
	"quest_1_interface_description"										"In this series, we will cover the essential information found on the user interface."

	"quest_1_challenge_1"												"A. Town Portal"
	"quest_1_challenge_2"												"B. Respawn Flag"
	"quest_1_challenge_3"												"C. Custom Attributes"
	"quest_1_challenge_4"												"D. Stars"

	"quest_1_challenge_1_desc"											"At the bottom right of your screen is a blue scroll icon. Clicking on it will begin a channel that is interrupted when damage is taken. Finishing the channel teleports your hero back to the map's town."

	"quest_1_challenge_1_sub_0_summary"									"Use the Town Portal ability located at the bottom right of your screen."

	"tutorial_master_dialogue_1_1a"										"Look at the bottom right of your screen."
	"tutorial_master_dialogue_1_1b"										"The blue scroll icon is your town portal ability."
	"tutorial_master_dialogue_1_1c"										"It will take you back to the map's town if the channel is not interrupted."
	"tutorial_master_dialogue_1_1d"										"Go ahead and try using the Town Portal!"
	"tutorial_master_dialogue_1_1e"										"Nice TP, but now you have to walk all the way over here again! Haha!"
	
	"quest_1_challenge_2_desc"											"Next to the town portal scroll button is the Respawn Flag. Finishing its channel without being interrupted will place a flag at your location. After dying, you will respawn at the flag's location, and the flag is consumed."
	"quest_1_challenge_2_sub_0_summary"									"Use the Respawn Flag ability located at the bottom right of your screen."
	"quest_1_challenge_2_sub_1_summary"									"Respawn at your flag."

	"tutorial_master_dialogue_1_2a"										"Look at the bottom right of your screen again."
	"tutorial_master_dialogue_1_2b"										"Next to the town portal scroll is the Respawn Flag."
	"tutorial_master_dialogue_1_2c"										"When you finish the channel without being interrupted, you place the flag at your current position."
	"tutorial_master_dialogue_1_2d"										"Next time you die, your respawn location will be relocated to the flag's position."
	"tutorial_master_dialogue_1_2e"										"If you think you won't need this because you plan not to die, then you really don't understand how brutal Roshpit's monsters can get."
	"tutorial_master_dialogue_1_2f"										"You can experience it for yourself later. For now, go ahead and use the respawn flag!"

	"tutorial_master_dialogue_1_2g"										"In order to fully understand the respawn flag, I'm going to need to zap you."
	"tutorial_master_dialogue_1_2h"										"You might feel a slight pinch. Just close your eyes!"

	"tutorial_master_dialogue_1_2j"										"Ouch! Don't worry, this is not the last time you will experience death."
	"tutorial_master_dialogue_1_2k"										"When you respawn, you will appear back where you placed the flag."
	"tutorial_master_dialogue_1_2l"										"The flag is consumed, so don't forget to place it again after reviving."
	"tutorial_master_dialogue_1_2m"										"Welcome back. This completes the lesson on Respawn Flag."


	"quest_1_challenge_3_desc"											"Hovering over your attributes opens up a detailed breakdown of your hero's capabilities."
	"quest_1_challenge_3_sub_0_summary"									"Hover over your hero's attributes at the bottom for a detailed stat breakdown."

	"tutorial_master_dialogue_1_3a"										"Next to your hero portrait is a list showing your hero's Attack Power, Armor and Movement Speed. Below that is your hero's attributes: Strength, Agility and Intelligence."
	"tutorial_master_dialogue_1_3b"										"Hover your mouse over the attributes to view a detailed breakdown of your hero's combat capabilities."

	"tutorial_master_dialogue_1_3c"										"Nice, well I'm not going to explain every piece to you at this time because it will be too much information without any gameplay."
	"tutorial_master_dialogue_1_3d"										"Just quickly, notice you can see how much value your attributes are adding, for example how much HP and Health Regen you are getting from Strength."
	"tutorial_master_dialogue_1_3e"										"Feel free to take a look at the other data. But for now, this lesson is complete."

	"quest_1_challenge_4_desc"											"Stars are Roshpit Champion's achievement system. Click the stars menu at the bottom right or press (K) to view your Stars."
